species,out_strength,in_strength,out_degree,in_degree,out_degree_centrality,in_degree_centrality,betweenness_centrality,eigenvector_centrality,mean_pairwise_asymmetry,cluster,network_community
Faxonius virilis,24.323125859722495,11.911663642618805,43,15,0.27922077922077926,0.09740259740259741,0.003777268483150836,0.009698480309150498,0.0930813558054967,4,4
Faxonius williamsi,12.450122243724763,21.119172252481803,23,51,0.14935064935064937,0.33116883116883117,0.0034801799507681863,0.05719158605465872,0.08584227420952074,3,4
Faxonius yanahlindus,15.120710886083543,25.28958543948829,27,43,0.17532467532467533,0.27922077922077926,0.0009761480349715644,0.10016059284507023,0.10564967337391012,5,2
Lacunicambarus acanthura,35.01581650972366,24.479648947017267,68,51,0.4415584415584416,0.33116883116883117,0.02249384602325779,0.08624902559589198,0.117463524627209,5,2
Lacunicambarus chimera,21.28800400160253,23.977263658074662,46,51,0.29870129870129875,0.33116883116883117,0.01459977930566166,0.06598740326540406,0.08724677469127799,4,4
Lacunicambarus diogenes,51.66249310038984,18.35766612715088,115,42,0.7467532467532468,0.27272727272727276,0.025252525252525252,0.03536172317398582,0.21772394807217038,2,4
Lacunicambarus ludovicianus,34.1937119346112,26.68537324294448,65,60,0.4220779220779221,0.38961038961038963,0.007681860623037094,0.13500927208724947,0.0938114986283245,1,3
Lacunicambarus nebrascensis,5.993947421433404,11.314930922817439,9,17,0.05844155844155845,0.1103896103896104,0.0023767082590612004,0.01098894952198192,0.07953005279988873,4,4
Lacunicambarus polychromatus,46.18111074902117,16.626130181830376,119,27,0.7727272727272728,0.17532467532467533,0.02516764281470164,0.019425341306642703,0.19710608662783421,4,4
Lacunicambarus thomai,26.40256067365408,13.29026699042879,68,24,0.4415584415584416,0.15584415584415584,0.0035650623885918006,0.010117736441103486,0.09318613362734436,4,4
Orconectes australis,27.930914307478815,24.06662507681176,57,44,0.37012987012987014,0.28571428571428575,0.024149053560818267,0.07818466934677029,0.1218756773484895,5,2
